id,port_id,data_src_c,port_coor_,cntr_code,port_name,rep_mar_l,source,traffic,geom
21,DKBGZ,2111,2,DK,Bogense,,GISCO,0,0103000020E864000001000000210000004527AD67CB5F2141FC2B994C0C7E5741296DBDF9A45F2141FE55D186DB7D57411C3DFF29335F2141E2D0DBA0AC7D5741572D1E587A5E214159791A68817D5741552D599E815D21413AABC3855B7D57415ABCA28B525C21413A0B8B6E3C7D5741170098C5F85A214141E94E54257D574138D7EB95815921413F23571A177D57414527AD67FB572141FC2B994C127D574152776E39755621413F23571A177D5741734EC209FE54214141E94E54257D57413092B743A45321413A0B8B6E3C7D574135210131755221413AABC3855B7D574133213C777C51214159791A68817D57416E115BA5C3502141E2D0DBA0AC7D574161E19CD551502141FE55D186DB7D57414527AD672B502141FC2B994C0C7E574161E19CD551502141FA0161123D7E57416E115BA5C3502141168756F86B7E574133213C777C5121419FDE1731977E57413521013175522141BEAC6E13BD7E57413092B743A4532141BE4CA72ADC7E5741734EC209FE542141B76EE344F37E574152776E3975562141B934DB7E017F57414527AD67FB572141FC2B994C067F574138D7EB9581592141B934DB7E017F5741170098C5F85A2141B76EE344F37E57415ABCA28B525C2141BE4CA72ADC7E5741552D599E815D2141BEAC6E13BD7E5741572D1E587A5E21419FDE1731977E57411C3DFF29335F2141168756F86B7E5741296DBDF9A45F2141FA0161123D7E57414527AD67CB5F2141FC2B994C0C7E5741
22,DKBLB,9998,1,DK,Ballebro,Ballebro,GISCO,1,0103000020E864000001000000210000006C1C135EBD982041A3E4637212405741506223F096982041A50E9CACE13F574143326520259820418989A6C6B23F57417E22844E6C9720410032E58D873F57417C22BF9473962041E1638EAB613F574181B1088244952041E1C35594423F57413EF5FDBBEA932041E8A1197A2B3F57415FCC518C73922041E6DB21401D3F57416C1C135EED902041A3E46372183F5741796CD42F678F2041E6DB21401D3F57419A432800F08D2041E8A1197A2B3F574157871D3A968C2041E1C35594423F57415C166727678B2041E1638EAB613F57415A16A26D6E8A20410032E58D873F57419506C19BB58920418989A6C6B23F574188D602CC43892041A50E9CACE13F57416C1C135E1D892041A3E463721240574188D602CC43892041A1BA2B38434057419506C19BB5892041BD3F211E724057415A16A26D6E8A20414697E2569D4057415C166727678B204165653939C340574157871D3A968C204165057250E24057419A432800F08D20415E27AE6AF9405741796CD42F678F204160EDA5A4074157416C1C135EED902041A3E463720C4157415FCC518C7392204160EDA5A4074157413EF5FDBBEA9320415E27AE6AF940574181B108824495204165057250E24057417C22BF947396204165653939C34057417E22844E6C9720414697E2569D4057414332652025982041BD3F211E72405741506223F096982041A1BA2B38434057416C1C135EBD982041A3E4637212405741
23,DKBOG,5105,6,DK,Bogø,,GISCO,0,0103000020E86400000100000021000000E47C45EC0C42254188EFA8C4983A5741C8C2557EE64125418A19E1FE673A5741BB9297AE744125416E94EB18393A5741F682B6DCBB402541E53C2AE00D3A5741F482F122C33F2541C66ED3FDE7395741F9113B10943E2541C6CE9AE6C8395741B655304A3A3D2541CDAC5ECCB1395741D72C841AC33B2541CBE66692A3395741E47C45EC3C3A254188EFA8C49E395741F1CC06BEB6382541CBE66692A339574112A45A8E3F372541CDAC5ECCB1395741CFE74FC8E5352541C6CE9AE6C8395741D47699B5B6342541C66ED3FDE7395741D276D4FBBD332541E53C2AE00D3A57410D67F329053325416E94EB18393A57410037355A933225418A19E1FE673A5741E47C45EC6C32254188EFA8C4983A57410037355A9332254186C5708AC93A57410D67F32905332541A24A6670F83A5741D276D4FBBD3325412BA227A9233B5741D47699B5B63425414A707E8B493B5741CFE74FC8E53525414A10B7A2683B574112A45A8E3F3725414332F3BC7F3B5741F1CC06BEB638254145F8EAF68D3B5741E47C45EC3C3A254188EFA8C4923B5741D72C841AC33B254145F8EAF68D3B5741B655304A3A3D25414332F3BC7F3B5741F9113B10943E25414A10B7A2683B5741F482F122C33F25414A707E8B493B5741F682B6DCBB4025412BA227A9233B5741BB9297AE74412541A24A6670F83A5741C8C2557EE641254186C5708AC93A5741E47C45EC0C42254188EFA8C4983A5741
24,DKBOS,9998,1,DK,Bøjden,Bøjden,GISCO,1,0103000020E864000001000000210000007F39CCE05B6C214161EE310B574C5741637FDC72356C214163186A45264C5741564F1EA3C36B21414793745FF74B5741913F3DD10A6B2141BE3BB326CC4B57418F3F7817126A21419F6D5C44A64B574194CEC104E36821419FCD232D874B57415112B73E89672141A6ABE712704B574172E90A0F12662141A4E5EFD8614B57417F39CCE08B64214161EE310B5D4B57418C898DB205632141A4E5EFD8614B5741AD60E1828E612141A6ABE712704B57416AA4D6BC346021419FCD232D874B57416F3320AA055F21419F6D5C44A64B57416D335BF00C5E2141BE3BB326CC4B5741A8237A1E545D21414793745FF74B57419BF3BB4EE25C214163186A45264C57417F39CCE0BB5C214161EE310B574C57419BF3BB4EE25C21415FC4F9D0874C5741A8237A1E545D21417B49EFB6B64C57416D335BF00C5E214104A1B0EFE14C57416F3320AA055F2141236F07D2074D57416AA4D6BC34602141230F40E9264D5741AD60E1828E6121411C317C033E4D57418C898DB2056321411EF7733D4C4D57417F39CCE08B64214161EE310B514D574172E90A0F126621411EF7733D4C4D57415112B73E896721411C317C033E4D574194CEC104E3682141230F40E9264D57418F3F7817126A2141236F07D2074D5741913F3DD10A6B214104A1B0EFE14C5741564F1EA3C36B21417B49EFB6B64C5741637FDC72356C21415FC4F9D0874C57417F39CCE05B6C214161EE310B574C5741
25,DKBRH,9998,1,DK,Branden Havn,Branden Havn,GISCO,1,0103000020E86400000100000021000000BC65119D98B11E41EBA45E28A203584184F131C14BB11E41EDCE9662710358416B91B52168B01E41D149A17C42035841E171F37DF6AE1E4148F2DF4317035841DC71690A05AD1E4129248961F1025841E58FFCE4A6AA1E412984504AD20258416017E758F3A71E4130621430BB025841A2C58EF904A51E412E9C1CF6AC025841BC65119DF8A11E41EBA45E28A8025841D6059440EC9E1E412E9C1CF6AC02584118B43BE1FD9B1E4130621430BB025841933B26554A991E412984504AD20258419C59B92FEC961E4129248961F102584197592FBCFA941E4148F2DF43170358410D3A6D1889931E41D149A17C42035841F4D9F078A5921E41EDCE966271035841BC65119D58921E41EBA45E28A2035841F4D9F078A5921E41E97A26EED20358410D3A6D1889931E4105001CD40104584197592FBCFA941E418E57DD0C2D0458419C59B92FEC961E41AD2534EF52045841933B26554A991E41ADC56C067204584118B43BE1FD9B1E41A6E7A82089045841D6059440EC9E1E41A8ADA05A97045841BC65119DF8A11E41EBA45E289C045841A2C58EF904A51E41A8ADA05A970458416017E758F3A71E41A6E7A82089045841E58FFCE4A6AA1E41ADC56C0672045841DC71690A05AD1E41AD2534EF52045841E171F37DF6AE1E418E57DD0C2D0458416B91B52168B01E4105001CD40104584184F131C14BB11E41E97A26EED2035841BC65119D98B11E41EBA45E28A2035841
26,DKCPH,2110,1,DK,Københavns Havn,Københavns Havn,GISCO,1,0103000020E86400000100000021000000ABF13F06F238264127ADCE0A919157418F375098CB38264129D7064560915741820792C8593826410D52115F31915741BDF7B0F6A037264184FA4F2606915741BBF7EB3CA8362641652CF943E0905741C086352A79352641658CC02CC19057417DCA2A641F3426416C6A8412AA9057419EA17E34A83226416AA48CD89B905741ABF13F062231264127ADCE0A97905741B84101D89B2F26416AA48CD89B905741D91855A8242E26416C6A8412AA905741965C4AE2CA2C2641658CC02CC19057419BEB93CF9B2B2641652CF943E090574199EBCE15A32A264184FA4F2606915741D4DBED43EA2926410D52115F31915741C7AB2F747829264129D7064560915741ABF13F065229264127ADCE0A91915741C7AB2F7478292641258396D0C1915741D4DBED43EA29264141088CB6F091574199EBCE15A32A2641CA5F4DEF1B9257419BEB93CF9B2B2641E92DA4D141925741965C4AE2CA2C2641E9CDDCE860925741D91855A8242E2641E2EF180378925741B84101D89B2F2641E4B5103D86925741ABF13F062231264127ADCE0A8B9257419EA17E34A8322641E4B5103D869257417DCA2A641F342641E2EF180378925741C086352A79352641E9CDDCE860925741BBF7EB3CA8362641E92DA4D141925741BDF7B0F6A0372641CA5F4DEF1B925741820792C85938264141088CB6F09157418F375098CB382641258396D0C1915741ABF13F06F238264127ADCE0A91915741
27,DKDAN,2109,8,DK,Cementfabrikken Danias Havn,,GISCO,0,0103000020E86400000100000021000000E552194D854021419E5AA00E29F95741C99829DF5E402141A084D848F8F85741BC686B0FED3F214184FFE262C9F85741F7588A3D343F2141FBA7212A9EF85741F558C5833B3E2141DCD9CA4778F85741FAE70E710C3D2141DC39923059F85741B72B04ABB23B2141E317561642F85741D802587B3B3A2141E1515EDC33F85741E552194DB53821419E5AA00E2FF85741F2A2DA1E2F372141E1515EDC33F85741137A2EEFB7352141E317561642F85741D0BD23295E342141DC39923059F85741D54C6D162F332141DCD9CA4778F85741D34CA85C36322141FBA7212A9EF857410E3DC78A7D31214184FFE262C9F85741010D09BB0B312141A084D848F8F85741E552194DE53021419E5AA00E29F95741010D09BB0B3121419C3068D459F957410E3DC78A7D312141B8B55DBA88F95741D34CA85C36322141410D1FF3B3F95741D54C6D162F33214160DB75D5D9F95741D0BD23295E342141607BAEECF8F95741137A2EEFB7352141599DEA0610FA5741F2A2DA1E2F3721415B63E2401EFA5741E552194DB53821419E5AA00E23FA5741D802587B3B3A21415B63E2401EFA5741B72B04ABB23B2141599DEA0610FA5741FAE70E710C3D2141607BAEECF8F95741F558C5833B3E214160DB75D5D9F95741F7588A3D343F2141410D1FF3B3F95741BC686B0FED3F2141B8B55DBA88F95741C99829DF5E4021419C3068D459F95741E552194D854021419E5AA00E29F95741
28,DKDAS,9998,8,DK,Dansk Salts Havn,,GISCO,0,0103000020E86400000100000021000000FD2E603F043B21411549695158F75741E17470D1DD3A21411773A18B27F75741D444B2016C3A2141FBEDABA5F8F657410F35D12FB33921417296EA6CCDF657410D350C76BA38214153C8938AA7F6574112C455638B37214153285B7388F65741CF074B9D313621415A061F5971F65741F0DE9E6DBA3421415840271F63F65741FD2E603F34332141154969515EF657410A7F2111AE3121415840271F63F657412B5675E1363021415A061F5971F65741E8996A1BDD2E214153285B7388F65741ED28B408AE2D214153C8938AA7F65741EB28EF4EB52C21417296EA6CCDF6574126190E7DFC2B2141FBEDABA5F8F6574119E94FAD8A2B21411773A18B27F75741FD2E603F642B21411549695158F7574119E94FAD8A2B2141131F311789F7574126190E7DFC2B21412FA426FDB7F75741EB28EF4EB52C2141B8FBE735E3F75741ED28B408AE2D2141D7C93E1809F85741E8996A1BDD2E2141D769772F28F857412B5675E136302141D08BB3493FF857410A7F2111AE312141D251AB834DF85741FD2E603F343321411549695152F85741F0DE9E6DBA342141D251AB834DF85741CF074B9D31362141D08BB3493FF8574112C455638B372141D769772F28F857410D350C76BA382141D7C93E1809F857410F35D12FB3392141B8FBE735E3F75741D444B2016C3A21412FA426FDB7F75741E17470D1DD3A2141131F311789F75741FD2E603F043B21411549695158F75741
29,DKDRA,2111,1,DK,Dragør,Dragør,GISCO,1,0103000020E86400000100000021000000FC39AAA3875C26415E07ECCB38865741E07FBA35615C26416031240608865741D34FFC65EF5B264144AC2E20D98557410E401B94365B2641BB546DE7AD8557410C4056DA3D5A26419C8616058885574111CF9FC70E5926419CE6DDED68855741CE129501B5572641A3C4A1D351855741EFE9E8D13D562641A1FEA99943855741FC39AAA3B75426415E07ECCB3E855741098A6B7531532641A1FEA999438557412A61BF45BA512641A3C4A1D351855741E7A4B47F605026419CE6DDED68855741EC33FE6C314F26419C86160588855741EA3339B3384E2641BB546DE7AD855741252458E17F4D264144AC2E20D985574118F499110E4D26416031240608865741FC39AAA3E74C26415E07ECCB3886574118F499110E4D26415CDDB39169865741252458E17F4D26417862A97798865741EA3339B3384E264101BA6AB0C3865741EC33FE6C314F26412088C192E9865741E7A4B47F605026412028FAA9088757412A61BF45BA512641194A36C41F875741098A6B75315326411B102EFE2D875741FC39AAA3B75426415E07ECCB32875741EFE9E8D13D5626411B102EFE2D875741CE129501B5572641194A36C41F87574111CF9FC70E5926412028FAA9088757410C4056DA3D5A26412088C192E98657410E401B94365B264101BA6AB0C3865741D34FFC65EF5B26417862A97798865741E07FBA35615C26415CDDB39169865741FC39AAA3875C26415E07ECCB38865741
30,DKEBJ,2110,1,DK,Esbjerg,Esbjerg,GISCO,1,0103000020E8640000010000002100000015FC8807755B1C41CDF7CDEB0B735741DD87A92B285B1C41CF210626DB725741C4272D8C445A1C41B39C1040AC7257413A086BE8D2581C412A454F07817257413508E174E1561C410B77F8245B7257413E26744F83541C410BD7BF0D3C725741B9AD5EC3CF511C4112B583F324725741FB5B0664E14E1C4110EF8BB91672574115FC8807D54B1C41CDF7CDEB117257412F9C0BABC8481C4110EF8BB916725741714AB34BDA451C4112B583F324725741ECD19DBF26431C410BD7BF0D3C725741F5EF309AC8401C410B77F8245B725741F0EFA626D73E1C412A454F078172574166D0E482653D1C41B39C1040AC7257414D7068E3813C1C41CF210626DB72574115FC8807353C1C41CDF7CDEB0B7357414D7068E3813C1C41CBCD95B13C73574166D0E482653D1C41E7528B976B735741F0EFA626D73E1C4170AA4CD096735741F5EF309AC8401C418F78A3B2BC735741ECD19DBF26431C418F18DCC9DB735741714AB34BDA451C41883A18E4F27357412F9C0BABC8481C418A00101E0174574115FC8807D54B1C41CDF7CDEB05745741FB5B0664E14E1C418A00101E01745741B9AD5EC3CF511C41883A18E4F27357413E26744F83541C418F18DCC9DB7357413508E174E1561C418F78A3B2BC7357413A086BE8D2581C4170AA4CD096735741C4272D8C445A1C41E7528B976B735741DD87A92B285B1C41CBCD95B13C73574115FC8807755B1C41CDF7CDEB0B735741
31,DKEBT,2111,1,DK,Ebeltoft,Ebeltoft,GISCO,1,0103000020E86400000100000021000000785CF958A4732241958C397834C357415CA209EB7D73224197B671B203C357414F724B1B0C7322417B317CCCD4C257418A626A4953722241F2D9BA93A9C257418862A58F5A712241D30B64B183C257418DF1EE7C2B702241D36B2B9A64C257414A35E4B6D16E2241DA49EF7F4DC257416B0C38875A6D2241D883F7453FC25741785CF958D46B2241958C39783AC2574185ACBA2A4E6A2241D883F7453FC25741A6830EFBD6682241DA49EF7F4DC2574163C703357D672241D36B2B9A64C2574168564D224E662241D30B64B183C257416656886855652241F2D9BA93A9C25741A146A7969C6422417B317CCCD4C257419416E9C62A64224197B671B203C35741785CF95804642241958C397834C357419416E9C62A6422419362013E65C35741A146A7969C642241AFE7F62394C357416656886855652241383FB85CBFC3574168564D224E662241570D0F3FE5C3574163C703357D67224157AD475604C45741A6830EFBD668224150CF83701BC4574185ACBA2A4E6A224152957BAA29C45741785CF958D46B2241958C39782EC457416B0C38875A6D224152957BAA29C457414A35E4B6D16E224150CF83701BC457418DF1EE7C2B70224157AD475604C457418862A58F5A712241570D0F3FE5C357418A626A4953722241383FB85CBFC357414F724B1B0C732241AFE7F62394C357415CA209EB7D7322419362013E65C35741785CF958A4732241958C397834C35741
32,DKEDL,9998,8,DK,Endelave,,GISCO,0,0103000020E86400000100000021000000B0D4B01AC3B92141FFC5BB677B935741941AC1AC9CB9214101F0F3A14A93574187EA02DD2AB92141E56AFEBB1B935741C2DA210B72B821415C133D83F0925741C0DA5C5179B721413D45E6A0CA925741C569A63E4AB621413DA5AD89AB92574182AD9B78F0B421414483716F94925741A384EF4879B3214142BD793586925741B0D4B01AF3B12141FFC5BB6781925741BD2472EC6CB0214142BD793586925741DEFBC5BCF5AE21414483716F949257419B3FBBF69BAD21413DA5AD89AB925741A0CE04E46CAC21413D45E6A0CA9257419ECE3F2A74AB21415C133D83F0925741D9BE5E58BBAA2141E56AFEBB1B935741CC8EA08849AA214101F0F3A14A935741B0D4B01A23AA2141FFC5BB677B935741CC8EA08849AA2141FD9B832DAC935741D9BE5E58BBAA214119217913DB9357419ECE3F2A74AB2141A2783A4C06945741A0CE04E46CAC2141C146912E2C9457419B3FBBF69BAD2141C1E6C9454B945741DEFBC5BCF5AE2141BA08066062945741BD2472EC6CB02141BCCEFD9970945741B0D4B01AF3B12141FFC5BB6775945741A384EF4879B32141BCCEFD997094574182AD9B78F0B42141BA08066062945741C569A63E4AB62141C1E6C9454B945741C0DA5C5179B72141C146912E2C945741C2DA210B72B82141A2783A4C0694574187EA02DD2AB9214119217913DB935741941AC1AC9CB92141FD9B832DAC935741B0D4B01AC3B92141FFC5BB677B935741
33,DKEGN,9998,1,DK,Egense,Egense,GISCO,1,0103000020E86400000100000021000000138A745872B62141FCD215FC65185841F7CF84EA4BB62141FEFC4D3635185841EA9FC61ADAB52141E2775850061858412590E54821B5214159209717DB1758412390208F28B421413A524035B5175841281F6A7CF9B221413AB2071E96175841E5625FB69FB121414190CB037F175841063AB38628B021413FCAD3C970175841138A7458A2AE2141FCD215FC6B17584120DA352A1CAD21413FCAD3C97017584141B189FAA4AB21414190CB037F175841FEF47E344BAA21413AB2071E961758410384C8211CA921413A524035B51758410184036823A8214159209717DB1758413C7422966AA72141E2775850061858412F4464C6F8A62141FEFC4D3635185841138A7458D2A62141FCD215FC651858412F4464C6F8A62141FAA8DDC1961858413C7422966AA72141162ED3A7C51858410184036823A821419F8594E0F01858410384C8211CA92141BE53EBC216195841FEF47E344BAA2141BEF323DA3519584141B189FAA4AB2141B71560F44C19584120DA352A1CAD2141B9DB572E5B195841138A7458A2AE2141FCD215FC5F195841063AB38628B02141B9DB572E5B195841E5625FB69FB12141B71560F44C195841281F6A7CF9B22141BEF323DA351958412390208F28B42141BE53EBC2161958412590E54821B521419F8594E0F0185841EA9FC61ADAB52141162ED3A7C5185841F7CF84EA4BB62141FAA8DDC196185841138A745872B62141FCD215FC65185841
34,DKEIT,0,,DK,,Ensted Inter Terminal,Inter Terminals Nordics,1,0103000020E86400000100000021000000C5CDC7C06E262041DED3B64376425741A913D85248262041E0FDEE7D454257419CE31983D6252041C478F99716425741D7D338B11D2520413B21385FEB415741D5D373F7242420411C53E17CC5415741DA62BDE4F52220411CB3A865A641574197A6B21E9C21204123916C4B8F415741B87D06EF2420204121CB741181415741C5CDC7C09E1E2041DED3B6437C415741D21D8992181D204121CB741181415741F3F4DC62A11B204123916C4B8F415741B038D29C471A20411CB3A865A6415741B5C71B8A181920411C53E17CC5415741B3C756D01F1820413B21385FEB415741EEB775FE66172041C478F99716425741E187B72EF5162041E0FDEE7D45425741C5CDC7C0CE162041DED3B64376425741E187B72EF5162041DCA97E09A7425741EEB775FE66172041F82E74EFD5425741B3C756D01F1820418186352801435741B5C71B8A18192041A0548C0A27435741B038D29C471A2041A0F4C42146435741F3F4DC62A11B20419916013C5D435741D21D8992181D20419BDCF8756B435741C5CDC7C09E1E2041DED3B64370435741B87D06EF242020419BDCF8756B43574197A6B21E9C2120419916013C5D435741DA62BDE4F5222041A0F4C42146435741D5D373F724242041A0548C0A27435741D7D338B11D25204181863528014357419CE31983D6252041F82E74EFD5425741A913D85248262041DCA97E09A7425741C5CDC7C06E262041DED3B64376425741
35,DKENS,2109,1,DK,Enstedværkets Havn,Enstedværkets Havn,GISCO,1,0103000020E864000001000000210000007007263A3F1E204175F3EDDBD2435741544D36CC181E2041771D2616A2435741471D78FCA61D20415B98303073435741820D972AEE1C2041D2406FF747435741800DD270F51B2041B372181522435741859C1B5EC61A2041B3D2DFFD0243574142E010986C192041BAB0A3E3EB42574163B76468F5172041B8EAABA9DD4257417007263A6F16204175F3EDDBD84257417D57E70BE9142041B8EAABA9DD4257419E2E3BDC71132041BAB0A3E3EB4257415B72301618122041B3D2DFFD0243574160017A03E9102041B3721815224357415E01B549F00F2041D2406FF74743574199F1D377370F20415B983030734357418CC115A8C50E2041771D2616A24357417007263A9F0E204175F3EDDBD24357418CC115A8C50E204173C9B5A10344574199F1D377370F20418F4EAB87324457415E01B549F00F204118A66CC05D44574160017A03E91020413774C3A2834457415B723016181220413714FCB9A24457419E2E3BDC71132041303638D4B94457417D57E70BE914204132FC2F0EC84457417007263A6F16204175F3EDDBCC44574163B76468F517204132FC2F0EC844574142E010986C192041303638D4B9445741859C1B5EC61A20413714FCB9A2445741800DD270F51B20413774C3A283445741820D972AEE1C204118A66CC05D445741471D78FCA61D20418F4EAB8732445741544D36CC181E204173C9B5A1034457417007263A3F1E204175F3EDDBD2435741
36,DKFAA,2111,1,DK,Fåborg Havn,Fåborg Havn,GISCO,1,0103000020E86400000100000021000000E2FF3A3FEDB121415BCCB992F54A5741C6454BD1C6B121415DF6F1CCC44A5741B9158D0155B121414171FCE6954A5741F405AC2F9CB02141B8193BAE6A4A5741F205E775A3AF2141994BE4CB444A5741F794306374AE214199ABABB4254A5741B4D8259D1AAD2141A0896F9A0E4A5741D5AF796DA3AB21419EC37760004A5741E2FF3A3F1DAA21415BCCB992FB495741EF4FFC1097A821419EC37760004A5741102750E11FA72141A0896F9A0E4A5741CD6A451BC6A5214199ABABB4254A5741D2F98E0897A42141994BE4CB444A5741D0F9C94E9EA32141B8193BAE6A4A57410BEAE87CE5A221414171FCE6954A5741FEB92AAD73A221415DF6F1CCC44A5741E2FF3A3F4DA221415BCCB992F54A5741FEB92AAD73A2214159A28158264B57410BEAE87CE5A221417527773E554B5741D0F9C94E9EA32141FE7E3877804B5741D2F98E0897A421411D4D8F59A64B5741CD6A451BC6A521411DEDC770C54B5741102750E11FA72141160F048BDC4B5741EF4FFC1097A8214118D5FBC4EA4B5741E2FF3A3F1DAA21415BCCB992EF4B5741D5AF796DA3AB214118D5FBC4EA4B5741B4D8259D1AAD2141160F048BDC4B5741F794306374AE21411DEDC770C54B5741F205E775A3AF21411D4D8F59A64B5741F405AC2F9CB02141FE7E3877804B5741B9158D0155B121417527773E554B5741C6454BD1C6B1214159A28158264B5741E2FF3A3FEDB121415BCCB992F54A5741
37,DKFAK,5106,7,DK,Fakse Ladeplads Havn,,GISCO,0,0103000020E86400000100000021000000F29B3F1C6270254198E5EE92765B5741D6E14FAE3B7025419A0F27CD455B5741C9B191DEC96F25417E8A31E7165B574104A2B00C116F2541F53270AEEB5A574102A2EB52186E2541D66419CCC55A574107313540E96C2541D6C4E0B4A65A5741C4742A7A8F6B2541DDA2A49A8F5A5741E54B7E4A186A2541DBDCAC60815A5741F29B3F1C9268254198E5EE927C5A5741FFEB00EE0B672541DBDCAC60815A574120C354BE94652541DDA2A49A8F5A5741DD064AF83A642541D6C4E0B4A65A5741E29593E50B632541D66419CCC55A5741E095CE2B13622541F53270AEEB5A57411B86ED595A6125417E8A31E7165B57410E562F8AE86025419A0F27CD455B5741F29B3F1CC260254198E5EE92765B57410E562F8AE860254196BBB658A75B57411B86ED595A612541B240AC3ED65B5741E095CE2B136225413B986D77015C5741E29593E50B6325415A66C459275C5741DD064AF83A6425415A06FD70465C574120C354BE946525415328398B5D5C5741FFEB00EE0B67254155EE30C56B5C5741F29B3F1C9268254198E5EE92705C5741E54B7E4A186A254155EE30C56B5C5741C4742A7A8F6B25415328398B5D5C574107313540E96C25415A06FD70465C574102A2EB52186E25415A66C459275C574104A2B00C116F25413B986D77015C5741C9B191DEC96F2541B240AC3ED65B5741D6E14FAE3B70254196BBB658A75B5741F29B3F1C6270254198E5EE92765B5741
38,DKFDH,2110,1,DK,Frederikshavn,Frederikshavn,GISCO,1,0103000020E86400000100000021000000726A78CCD91E224169185DC3FF49584156B0885EB31E22416B4295FDCE4958414980CA8E411E22414FBD9F17A04958418470E9BC881D2241C665DEDE7449584182702403901C2241A79787FC4E49584187FF6DF0601B2241A7F74EE52F4958414443632A071A2241AED512CB18495841651AB7FA8F182241AC0F1B910A495841726A78CC0917224169185DC3054958417FBA399E83152241AC0F1B910A495841A0918D6E0C142241AED512CB184958415DD582A8B2122241A7F74EE52F4958416264CC9583112241A79787FC4E495841606407DC8A102241C665DEDE744958419B54260AD20F22414FBD9F17A04958418E24683A600F22416B4295FDCE495841726A78CC390F224169185DC3FF4958418E24683A600F224167EE2489304A58419B54260AD20F224183731A6F5F4A5841606407DC8A1022410CCBDBA78A4A58416264CC95831122412B99328AB04A58415DD582A8B21222412B396BA1CF4A5841A0918D6E0C142241245BA7BBE64A58417FBA399E8315224126219FF5F44A5841726A78CC0917224169185DC3F94A5841651AB7FA8F18224126219FF5F44A58414443632A071A2241245BA7BBE64A584187FF6DF0601B22412B396BA1CF4A584182702403901C22412B99328AB04A58418470E9BC881D22410CCBDBA78A4A58414980CA8E411E224183731A6F5F4A584156B0885EB31E224167EE2489304A5841726A78CCD91E224169185DC3FF495841
39,DKFDS,5107,7,DK,Frederikssund,,GISCO,0,0103000020E86400000100000021000000112F885DC51E254139A124E7CA9E5741F57498EF9E1E25413BCB5C219A9E5741E844DA1F2D1E25411F46673B6B9E57412335F94D741D254196EEA502409E5741213534947B1C254177204F201A9E574126C47D814C1B254177801609FB9D5741E30773BBF21925417E5EDAEEE39D574104DFC68B7B1825417C98E2B4D59D5741112F885DF516254139A124E7D09D57411E7F492F6F1525417C98E2B4D59D57413F569DFFF71325417E5EDAEEE39D5741FC9992399E12254177801609FB9D57410129DC266F11254177204F201A9E5741FF28176D7610254196EEA502409E57413A19369BBD0F25411F46673B6B9E57412DE977CB4B0F25413BCB5C219A9E5741112F885D250F254139A124E7CA9E57412DE977CB4B0F25413777ECACFB9E57413A19369BBD0F254153FCE1922A9F5741FF28176D76102541DC53A3CB559F57410129DC266F112541FB21FAAD7B9F5741FC9992399E122541FBC132C59A9F57413F569DFFF7132541F4E36EDFB19F57411E7F492F6F152541F6A96619C09F5741112F885DF516254139A124E7C49F574104DFC68B7B182541F6A96619C09F5741E30773BBF2192541F4E36EDFB19F574126C47D814C1B2541FBC132C59A9F5741213534947B1C2541FB21FAAD7B9F57412335F94D741D2541DC53A3CB559F5741E844DA1F2D1E254153FCE1922A9F5741F57498EF9E1E25413777ECACFB9E5741112F885DC51E254139A124E7CA9E5741
40,DKFDV,2110,3,DK,Frederiksværk,,GISCO,0,0103000020E8640000010000002100000025B5A90A61082541326CD7BBADAC574109FBB99C3A08254134960FF67CAC5741FCCAFBCCC807254118111A104EAC574137BB1AFB0F0725418FB958D722AC574135BB55411706254170EB01F5FCAB57413A4A9F2EE8042541704BC9DDDDAB5741F78D94688E03254177298DC3C6AB57411865E8381702254175639589B8AB574125B5A90A91002541326CD7BBB3AB574132056BDC0AFF244175639589B8AB574153DCBEAC93FD244177298DC3C6AB57411020B4E639FC2441704BC9DDDDAB574115AFFDD30AFB244170EB01F5FCAB574113AF381A12FA24418FB958D722AC57414E9F574859F9244118111A104EAC5741416F9978E7F8244134960FF67CAC574125B5A90AC1F82441326CD7BBADAC5741416F9978E7F8244130429F81DEAC57414E9F574859F924414CC794670DAD574113AF381A12FA2441D51E56A038AD574115AFFDD30AFB2441F4ECAC825EAD57411020B4E639FC2441F48CE5997DAD574153DCBEAC93FD2441EDAE21B494AD574132056BDC0AFF2441EF7419EEA2AD574125B5A90A91002541326CD7BBA7AD57411865E83817022541EF7419EEA2AD5741F78D94688E032541EDAE21B494AD57413A4A9F2EE8042541F48CE5997DAD574135BB554117062541F4ECAC825EAD574137BB1AFB0F072541D51E56A038AD5741FCCAFBCCC80725414CC794670DAD574109FBB99C3A08254130429F81DEAC574125B5A90A61082541326CD7BBADAC5741
